"시도별","지출목적별",2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03
"전국","0 총지수",97.523,97.341,96.995,97.168,97.751,98.078,97.987,97.851,97.851,97.732,97.942,98.288,98.479,98.179,98.160,98.279,98.807,99.071,99.253,99.317,99.481,99.353,99.499,99.672,99.608,99.308,99.108,99.098,99.77,99.71,99.72,99.75,100.03,100.05,100.23,100.37,100.11,100.11,99.92,100.22,100.39,100.82,100.56,100.75,100.81,100.79,100.60,100.86,101.46,101.60,101.45,101.56,102.64,102.92,102.85,102.72,102.83,102.61,102.78,103.37,103.49,103.39,102.62,102.99,103.42,104.21,104.10,104.29,104.34,104.13,103.93,104.85,105.65,105.46,104.71,104.35,104.24,104.69,104.49,104.87,105.05,104.88,104.56,104.81,105.20,105.46,104.87,105.12,105.79,105.80,105.54,104.95,104.71,104.87,104.86,105.50,106.20,105.61,105.50,105.67,106.47,107.00,107.16
"전국","01 식료품 · 비주류음료",100.495,98.886,96.455,97.156,99.146,99.673,98.705,98.808,97.788,96.672,97.372,99.647,99.673,97.442,95.902,96.248,97.346,98.341,98.601,98.514,98.523,98.090,98.402,99.198,99.855,97.909,97.580,98.160,99.72,100.39,99.44,99.34,100.79,100.49,100.23,100.89,100.69,99.69,98.37,99.95,100.76,103.43,102.25,102.30,101.24,99.66,99.65,101.02,105.94,104.48,102.93,104.02,107.16,107.26,106.32,105.19,104.85,104.09,104.39,107.50,108.84,106.16,103.20,104.44,106.00,109.07,107.32,107.86,106.85,105.48,105.80,111.34,115.20,112.16,108.67,108.86,108.80,109.54,108.48,109.40,108.83,107.64,106.68,107.70,110.52,110.74,107.89,109.01,110.81,110.27,111.26,111.29,111.48,111.18,111.28,114.78,119.68,119.82,115.35,115.79,118.04,120.97,120.61
"전국","02 주류 및 담배",66.000,66.039,66.032,66.103,66.564,66.564,66.712,66.622,66.654,66.661,66.667,66.693,66.718,66.744,66.782,66.757,66.686,66.744,66.654,66.641,66.545,66.507,66.507,66.635,66.635,66.648,66.680,66.673,99.78,99.83,99.80,99.92,99.93,99.84,100.15,100.18,100.12,100.14,100.02,100.31,100.49,100.65,100.67,100.73,100.74,100.58,100.54,100.80,100.62,100.71,100.87,100.85,101.29,102.04,102.11,102.30,102.12,102.31,102.38,102.45,102.49,102.36,102.32,102.29,102.48,102.58,102.39,102.52,102.37,102.34,102.54,102.52,102.45,102.44,102.65,102.39,102.57,102.60,102.26,102.66,103.12,103.31,103.33,103.38,103.60,103.67,103.40,103.45,103.51,103.56,103.37,103.35,103.44,103.44,103.45,103.44,103.39,103.52,103.45,103.38,103.58,103.54,103.43
"전국","03 의류 및 신발",92.760,92.342,93.875,93.875,93.849,94.045,94.020,93.092,94.343,94.582,93.994,94.590,95.178,95.152,97.859,97.774,97.749,97.757,97.894,97.859,98.345,98.949,98.881,98.907,98.941,99.009,99.979,99.894,99.68,99.49,99.55,99.14,99.79,99.79,99.84,99.95,100.34,99.96,101.08,101.38,100.74,101.51,101.51,101.55,102.02,102.03,101.30,102.03,102.05,102.14,102.11,102.56,102.03,102.66,102.69,101.73,103.06,103.19,102.49,103.22,103.28,103.28,103.23,103.94,103.34,103.96,104.05,104.06,104.08,104.10,103.98,103.98,104.05,104.05,104.40,104.44,103.76,104.41,104.10,103.82,103.92,103.97,103.98,103.98,104.02,104.20,104.80,104.80,104.43,104.78,104.73,103.92,104.79,104.79,105.20,105.10,105.17,105.23,105.38,105.43,105.12,105.34,105.05
"전국","04 주택 ·수도 · 전기 및 연료",95.102,95.370,95.473,95.785,96.338,96.804,97.444,97.513,97.721,97.755,97.876,98.161,98.222,98.395,98.835,99.026,99.950,100.322,100.365,100.512,100.650,100.719,100.650,100.763,100.815,100.936,101.013,101.048,100.52,100.83,100.02,100.14,99.45,99.57,99.00,99.15,99.55,100.46,100.58,100.75,99.97,100.29,99.55,99.60,99.34,99.49,97.35,97.48,97.53,99.83,100.40,99.41,99.71,100.28,100.62,100.71,101.06,101.15,101.15,101.28,101.32,101.56,100.69,100.88,101.06,101.63,101.80,101.78,101.76,101.68,100.08,100.33,102.04,102.32,102.24,102.22,101.96,103.15,103.01,102.76,102.84,102.90,101.47,101.55,103.18,103.34,103.33,103.50,103.43,104.09,104.11,103.95,103.57,103.67,101.18,101.53,103.23,103.54,103.46,103.58,103.60,104.18,104.48
"전국","05 가정용품 및 가사 서비스",95.744,95.155,95.209,94.656,94.781,95.494,95.387,95.075,95.012,95.432,94.861,95.173,95.601,96.003,96.618,95.914,96.395,97.047,97.270,96.859,97.645,97.074,97.082,97.502,98.251,98.153,98.126,98.305,98.91,99.87,100.18,99.53,100.15,100.02,99.90,100.42,99.99,99.95,100.34,100.74,100.91,101.27,101.73,101.29,101.06,101.80,101.93,101.89,102.13,101.62,101.46,101.54,100.74,101.89,102.52,102.24,102.85,103.58,102.43,102.70,102.99,103.56,103.17,103.33,103.50,104.33,105.08,104.60,105.36,104.93,105.39,105.33,105.07,105.50,105.39,105.37,106.17,107.66,107.58,108.06,106.95,106.67,107.65,107.28,106.53,107.80,106.96,107.47,107.26,107.85,107.23,107.14,107.58,106.98,107.13,107.41,106.47,107.56,107.14,107.45,108.53,107.94,107.19
"전국","06 보건",97.267,97.277,97.324,97.343,98.228,98.276,98.343,98.171,98.514,98.495,97.581,97.667,97.857,97.914,97.914,97.933,98.885,98.866,98.923,98.809,98.856,98.771,98.847,98.447,98.457,98.761,98.780,98.780,99.84,100.04,100.10,100.05,100.04,100.04,100.00,100.03,99.80,100.08,99.99,100.00,100.99,100.94,100.93,100.99,101.01,101.03,101.01,100.93,100.97,100.91,101.03,101.09,102.13,102.13,102.03,101.71,101.74,102.22,102.27,102.28,101.73,101.57,101.31,101.45,102.51,102.55,102.65,102.21,102.19,102.36,101.32,101.37,101.32,101.22,101.14,101.10,102.04,102.14,102.11,102.19,102.20,102.51,102.31,102.32,102.41,102.46,102.43,102.53,103.83,103.68,103.74,103.83,103.81,103.97,103.88,103.86,103.80,103.97,103.95,103.82,104.83,104.81,104.91
"전국","07 교통",111.487,111.437,110.433,110.122,110.433,110.975,111.818,110.855,109.389,109.419,110.323,110.925,110.423,109.992,109.289,109.510,110.333,110.142,110.062,109.891,109.761,109.349,109.319,108.857,107.874,107.000,105.565,103.939,100.45,98.17,99.60,99.57,100.36,101.10,102.29,101.64,99.95,99.58,98.92,98.38,97.68,96.16,95.71,96.12,96.90,98.53,99.19,98.68,98.27,98.31,98.48,99.40,101.40,101.98,101.79,101.32,101.25,100.55,99.95,100.28,100.87,101.80,101.96,102.30,102.80,103.07,103.00,102.72,103.63,104.34,104.26,104.53,104.68,106.11,104.38,101.34,98.91,98.71,99.30,100.78,103.06,103.31,102.58,102.59,102.99,103.60,103.12,103.58,105.03,104.82,101.99,98.47,96.00,97.54,99.60,99.84,99.38,99.04,98.71,99.71,102.01,102.70,104.04
"전국","08 통신",100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.112,100.248,100.248,100.248,100.258,100.195,100.195,100.195,100.195,100.195,100.195,100.195,100.290,100.290,100.206,100.206,100.206,100.154,100.154,100.154,100.059,100.40,100.40,100.39,99.77,99.73,100.28,100.28,100.28,99.85,99.42,99.61,99.61,99.27,99.27,99.27,100.42,100.42,100.42,100.42,100.42,100.49,100.53,100.05,100.05,100.01,100.01,99.27,100.06,100.06,100.32,100.90,100.90,100.91,100.80,100.69,100.58,99.89,99.76,99.67,100.15,100.04,99.94,99.39,99.29,99.21,99.16,98.99,98.70,98.35,97.50,97.25,97.52,97.32,97.17,96.76,97.13,97.40,97.33,96.57,96.52,96.14,96.09,96.05,96.68,96.62,96.87,96.78,96.71,96.63,83.33,94.99,95.80,94.88,94.89,94.95
"전국","09 오락 및 문화",99.014,99.374,98.703,99.267,99.238,99.112,99.228,99.549,100.065,99.433,101.534,102.244,100.999,100.298,99.374,99.686,100.162,99.287,99.472,100.736,101.504,100.133,101.845,103.206,100.697,100.619,98.898,99.345,100.04,99.38,98.40,99.88,100.29,99.02,101.47,101.71,100.21,100.68,99.11,99.82,100.08,100.77,100.35,100.72,102.40,101.55,103.75,104.43,103.16,102.30,101.40,101.22,102.80,101.91,101.57,103.15,102.07,100.08,103.21,103.33,101.83,102.82,99.96,100.02,100.45,101.87,101.56,103.14,103.33,101.41,103.05,103.81,103.93,103.48,101.81,100.87,101.58,102.44,101.70,102.74,102.32,101.29,102.81,103.65,102.54,102.90,101.20,100.52,101.82,100.56,100.34,100.22,100.65,100.37,101.77,102.78,101.76,102.34,100.67,100.00,101.04,99.88,99.80
"전국","10 교육",96.277,96.324,96.407,96.472,97.048,97.354,96.528,96.602,96.695,96.760,96.788,96.844,96.955,96.983,97.011,97.085,97.382,97.586,98.319,98.356,98.394,98.421,98.431,98.468,98.588,98.561,98.579,98.663,99.13,99.26,99.74,99.98,100.02,100.06,100.12,100.19,100.34,100.35,100.37,100.44,100.86,101.09,101.42,101.54,101.67,101.69,101.74,101.78,101.91,101.95,101.97,102.01,102.30,102.46,102.71,102.80,102.83,102.86,102.87,102.91,102.94,102.95,102.98,103.01,103.40,103.69,103.99,104.20,104.24,104.26,104.28,104.38,104.46,104.52,104.52,104.57,105.04,105.15,105.19,105.25,105.34,105.39,105.39,105.42,103.58,103.72,103.77,103.83,104.08,104.26,104.26,102.69,102.44,102.36,102.44,102.48,101.35,101.44,101.56,100.91,101.10,101.26,101.45
"전국","11 음식 및 숙박",95.014,95.104,95.122,95.221,95.589,95.859,95.859,96.102,96.272,96.389,96.470,96.587,96.596,96.677,96.704,96.803,96.991,97.243,97.207,97.351,97.504,97.567,97.800,97.953,98.133,98.196,98.322,98.402,98.69,98.86,99.47,99.70,99.80,99.96,100.19,100.39,100.51,100.63,100.76,101.06,101.40,101.67,101.98,102.26,102.40,102.50,102.74,102.91,102.92,103.02,103.07,103.27,103.75,104.02,104.31,104.49,104.80,104.87,105.20,105.50,105.36,105.57,105.67,106.07,106.55,106.94,107.29,107.70,108.07,108.17,108.52,108.76,108.58,108.74,108.96,109.35,109.70,109.89,109.63,109.80,110.01,110.11,110.35,110.64,110.09,110.27,110.29,110.45,110.97,110.93,110.82,110.90,110.86,110.95,111.13,111.35,111.25,111.51,111.41,111.67,111.96,112.26,112.42
"전국","12 기타 상품 및 서비스",94.362,94.493,94.192,94.616,94.578,94.804,93.476,93.194,94.484,94.767,94.748,90.980,95.228,95.746,95.934,96.000,95.614,96.311,97.178,97.244,97.677,97.809,97.809,97.903,97.903,97.912,97.564,97.978,99.69,99.83,100.27,99.88,100.08,99.83,99.75,100.24,99.81,99.99,100.38,100.25,102.89,103.25,103.54,103.55,103.81,103.77,103.44,103.42,103.54,103.40,103.59,103.10,106.43,106.54,106.58,106.12,106.57,106.01,106.27,106.18,106.20,106.50,106.10,106.21,106.11,106.52,106.77,107.03,106.98,107.13,106.85,107.12,107.24,107.04,107.32,107.13,107.85,108.19,108.38,108.62,109.00,108.73,108.81,108.77,108.77,108.85,108.92,108.94,110.02,110.49,110.43,110.11,110.51,110.81,111.09,110.98,111.53,110.99,111.24,111.13,112.26,112.14,112.37
